Date,Name,Year,Letterboxd URI,Rating
2022-01-18,Parasite,2019,https://boxd.it/hTha,5
2022-01-18,Knives Out,2019,https://boxd.it/jWEA,3.5
2022-01-18,Pulp Fiction,1994,https://boxd.it/29Pq,4
2022-01-18,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2022-01-18,Midsommar,2019,https://boxd.it/jhxe,3
2022-01-18,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2022-01-18,Avengers: Infinity War,2018,https://boxd.it/9vEe,3
2022-01-18,The Shining,1980,https://boxd.it/29Nu,4
2022-01-18,Avengers: Endgame,2019,https://boxd.it/9vE4,2
2022-01-18,Whiplash,2014,https://boxd.it/7bQA,4
2022-01-18,Guardians of the Galaxy,2014,https://boxd.it/3VH2,5
2022-01-18,The Truman Show,1998,https://boxd.it/18U8,3.5
2022-01-18,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3
2022-01-18,Uncut Gems,2019,https://boxd.it/gXGc,3
2022-01-18,Hereditary,2018,https://boxd.it/hNVe,2.5
2022-01-18,The Godfather,1972,https://boxd.it/2aNK,4
2022-01-18,Marriage Story,2019,https://boxd.it/hJAw,4
2022-01-18,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,3.5
2022-01-18,Shutter Island,2010,https://boxd.it/1U82,3
2022-01-18,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,2.5
2022-01-18,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2022-01-18,Drive,2011,https://boxd.it/IG,4
2022-01-18,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,2.5
2022-01-18,Doctor Strange,2016,https://boxd.it/8MH8,1
2022-01-18,GoodFellas,1990,https://boxd.it/29FA,5
2022-01-18,BlacKkKlansman,2018,https://boxd.it/hxL8,3.5
2022-01-18,Donnie Darko,2001,https://boxd.it/2b2A,3
2022-01-18,Toy Story,1995,https://boxd.it/29qA,0.5
2022-01-18,Alien,1979,https://boxd.it/2awY,3
2022-01-18,The Martian,2015,https://boxd.it/8SeG,4
2022-01-18,Lost in Translation,2003,https://boxd.it/2b0E,3
2022-01-18,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,3
2022-01-18,The Big Lebowski,1998,https://boxd.it/2b6C,5
2022-01-18,The Irishman,2019,https://boxd.it/dYOq,2
2022-01-18,The Hateful Eight,2015,https://boxd.it/8gw8,1.5
2022-01-18,The Lion King,1994,https://boxd.it/201Q,4
2022-01-18,Catch Me If You Can,2002,https://boxd.it/29VS,4
2022-01-18,Howl's Moving Castle,2004,https://boxd.it/23De,5
2022-01-18,Shrek,2001,https://boxd.it/29zi,1
2022-01-18,(500) Days of Summer,2009,https://boxd.it/1EmM,3
2022-01-18,Toy Story 3,2010,https://boxd.it/1WRe,3.5
2022-01-18,Superbad,2007,https://boxd.it/20hO,4.5
2022-01-18,Mean Girls,2004,https://boxd.it/1VNg,4
2022-01-18,Minari,2020,https://boxd.it/mL9M,3.5
2022-01-18,Venom,2018,https://boxd.it/b8wA,0.5
2022-01-18,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,4
2022-01-18,Train to Busan,2016,https://boxd.it/dSQU,4
2022-01-18,Manchester by the Sea,2016,https://boxd.it/b2L0,4
2022-01-18,Perfect Blue,1997,https://boxd.it/1W7A,5
2022-01-18,mid90s,2018,https://boxd.it/fxIa,4.5
2022-01-18,Boogie Nights,1997,https://boxd.it/23um,4.5
2022-01-18,The Graduate,1967,https://boxd.it/18Im,3.5
2022-01-18,Kick-Ass,2010,https://boxd.it/1zaQ,2.5
2022-01-18,Dazed and Confused,1993,https://boxd.it/1Ylk,3
2022-01-18,The Platform,2019,https://boxd.it/mUm6,2.5
2022-01-18,Raging Bull,1980,https://boxd.it/28yI,3.5
2022-01-18,Rocky,1976,https://boxd.it/28Uk,3
2022-01-18,Paprika,2006,https://boxd.it/23wW,4
2022-12-14,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2022-12-24,Princess Mononoke,1997,https://boxd.it/2b4w,4.5
2022-12-25,TÁR,2022,https://boxd.it/uNIA,4
2022-12-27,Hercules,1997,https://boxd.it/1SDW,4
2022-12-28,La La Land,2016,https://boxd.it/a5fa,5
2022-12-28,The Garden of Words,2013,https://boxd.it/5Ymq,3
2022-12-28,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2022-12-28,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,5
2022-12-29,Dallas Buyers Club,2013,https://boxd.it/4O8G,3
2022-12-30,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4
2022-12-30,The Darjeeling Limited,2007,https://boxd.it/24as,5
2022-12-30,Hotel Chevalier,2007,https://boxd.it/21Ic,3.5
2022-12-31,The Worst Person in the World,2021,https://boxd.it/oyws,5
2022-12-31,Interstellar,2014,https://boxd.it/4VZ8,3.5
2022-12-31,The Master,2012,https://boxd.it/2cBG,3.5
2023-01-01,Good Will Hunting,1997,https://boxd.it/2ahY,5
2023-01-02,Nightcrawler,2014,https://boxd.it/780m,4
2023-01-03,Smile,2022,https://boxd.it/xjfE,1
2023-01-03,Being John Malkovich,1999,https://boxd.it/2ahu,5
2023-01-04,Her,2013,https://boxd.it/4O24,4
2023-01-05,The Wind Rises,2013,https://boxd.it/4JQS,5
2023-01-05,A Trip to the Moon,1902,https://boxd.it/29EC,2.5
2023-01-06,Castello Cavalcanti,2013,https://boxd.it/6WlM,3
2023-01-06,Bottle Rocket,1993,https://boxd.it/pP8,2
2023-01-07,Joker,2019,https://boxd.it/h4cS,4
2023-01-07,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3
2023-01-07,Coco,2017,https://boxd.it/bYJQ,4
2023-01-07,The Breakfast Club,1985,https://boxd.it/27q4,4
2023-01-07,American Psycho,2000,https://boxd.it/28Vs,4
2023-01-21,English Vinglish,2012,https://boxd.it/3Weq,5
2023-01-21,Coraline,2009,https://boxd.it/1NhQ,5
2023-01-21,Selena,1997,https://boxd.it/1KVS,4
2023-01-21,XOXO,2016,https://boxd.it/bRxo,5
2023-01-21,The Outsiders,1983,https://boxd.it/2aPw,4.5
2023-02-03,Moonrise Kingdom,2012,https://boxd.it/2Wng,3.5
2023-02-17,Weathering with You,2019,https://boxd.it/kPxE,2
2023-04-07,Pather Panchali,1955,https://boxd.it/22yC,5
2023-04-07,Shadowlands,1993,https://boxd.it/1Wfk,2
2023-04-14,Suzume,2022,https://boxd.it/yv7Y,0.5
2023-05-03,Chungking Express,1994,https://boxd.it/1UDa,5
2023-05-19,La Collectionneuse,1967,https://boxd.it/23Ls,3.5
2023-05-19,The Banshees of Inisherin,2022,https://boxd.it/p7XS,5
2023-05-31,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,2
2023-06-04,All About Lily Chou-Chou,2001,https://boxd.it/1JP0,4
2023-06-14,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-06-22,Before Sunrise,1995,https://boxd.it/2bcU,4.5
2023-06-26,Malena,2000,https://boxd.it/1Vc0,4
2023-06-28,John Wick,2014,https://boxd.it/7dEc,3
2023-07-02,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4.5
2023-07-03,The Matrix,1999,https://boxd.it/2a1m,4.5
2023-07-06,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2023-07-07,Asteroid City,2023,https://boxd.it/s3ds,4.5
2023-07-09,The Prestige,2006,https://boxd.it/293w,4
2023-07-10,Inception,2010,https://boxd.it/1skk,4.5
2023-07-12,Aparajito,1956,https://boxd.it/29kW,5
2023-07-18,Apur Sansar,1959,https://boxd.it/29l6,5
2023-07-25,Good Time,2017,https://boxd.it/fcFu,5
2023-07-25,Oppenheimer,2023,https://boxd.it/wUow,5
2023-07-26,Grave of the Fireflies,1988,https://boxd.it/1RUM,5
2023-07-27,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA,5
2023-07-29,12 Angry Men,1957,https://boxd.it/2auI,5
2023-08-21,Oldboy,2003,https://boxd.it/29R2,5
2023-08-23,A Man Called Otto,2022,https://boxd.it/zl06,2
2023-08-31,The Menu,2022,https://boxd.it/lScm,4
2023-09-16,Spirited Away,2001,https://boxd.it/2b4m,5
2023-09-25,When Harry Met Sally...,1989,https://boxd.it/29W2,4.5
2023-09-25,Misery,1990,https://boxd.it/28gY,3
2023-09-30,The Swan,2023,https://boxd.it/Is80,4.5
2023-09-30,The Rat Catcher,2023,https://boxd.it/Is8a,4
2023-09-30,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,4.5
2023-09-30,Isle of Dogs,2018,https://boxd.it/dZrW,3
2023-10-01,Poison,2023,https://boxd.it/Is7Q,3.5
2023-10-04,Mysterious Skin,2004,https://boxd.it/1UsG,5
2023-10-09,Watching the Detectives,2007,https://boxd.it/1B3i,4.5
2023-10-15,Enter the Dragon,1973,https://boxd.it/1YCA,4
2023-10-23,Killers of the Flower Moon,2023,https://boxd.it/gHp0,5
2023-10-29,The Color of Money,1986,https://boxd.it/1SSM,4.5
2023-11-23,Tale of the Three Jewels,1995,https://boxd.it/8lSI,4
2023-11-29,Napoleon,2023,https://boxd.it/shJM,2.5
2023-12-22,Shin Godzilla,2016,https://boxd.it/a9lm,4
2023-12-23,Love & Pop,1998,https://boxd.it/2sv0,4.5
2023-12-24,Ritual,2000,https://boxd.it/14z6,5
2023-12-26,Tokyo Godfathers,2003,https://boxd.it/1Qg2,5
2023-12-31,Neon Genesis Evangelion,1995,https://boxd.it/ptEI,5
2024-01-02,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,5
2024-01-03,The Iron Claw,2023,https://boxd.it/w5Pm,4.5
2024-01-04,Saltburn,2023,https://boxd.it/z4eg,0.5
2024-01-06,Palo Alto,2013,https://boxd.it/5Nzy,3
2024-01-07,The Batman,2022,https://boxd.it/eDGs,4.5
2024-01-11,Dancer in the Dark,2000,https://boxd.it/71E,3.5
2024-01-12,The Holdovers,2023,https://boxd.it/vHza,5
2024-01-18,Breathless,1960,https://boxd.it/2aIK,4.5
2024-01-24,Past Lives,2023,https://boxd.it/oNB8,3.5
2024-01-27,Singles,1992,https://boxd.it/1UIu,2.5
2024-02-16,Digimon: The Movie,2000,https://boxd.it/1DrQ,5
2024-02-29,Dune,2021,https://boxd.it/fA7G,4.5
2024-03-01,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-03-03,Amiko,2022,https://boxd.it/vfZ0,4
2024-03-09,Trainspotting,1996,https://boxd.it/29XY,5
2024-03-15,The Zone of Interest,2023,https://boxd.it/gJsA,4
2024-04-07,Monkey Man,2024,https://boxd.it/kvsO,3.5
2024-05-22,Do the Right Thing,1989,https://boxd.it/29gA,5
2024-05-26,Interview,1971,https://boxd.it/8NRS,5
2024-06-07,Ronnie O'Sullivan: The Edge of Everything,2023,https://boxd.it/JtVu,4
2024-06-10,Mirrored Mind,2005,https://boxd.it/2MxK,4.5
2024-06-20,The Big Short,2015,https://boxd.it/ajZw,3
2024-06-20,Baraka,1992,https://boxd.it/1OWA,5
2024-07-18,Little Miss Sunshine,2006,https://boxd.it/29EW,3
2024-07-22,Rush Hour,1998,https://boxd.it/27pU,4.5
2024-07-23,Monster,2023,https://boxd.it/DJEM,3
2024-07-30,Forrest Gump,1994,https://boxd.it/728,5
2024-08-01,Katatsumori,1994,https://boxd.it/53RG,5
2024-08-04,Free Solo,2018,https://boxd.it/iEEq,5
2024-08-09,Ponyo,2008,https://boxd.it/1S0A,5
2024-08-11,The Way of the Dragon,1972,https://boxd.it/1YCq,4.5
2024-08-25,Office Space,1999,https://boxd.it/28Em,5
2024-09-15,Juno,2007,https://boxd.it/210a,3
2024-10-08,Look Back,2024,https://boxd.it/LjA6,4
2024-11-18,Blue Spring,2001,https://boxd.it/1fIo,4
2024-12-23,127 Hours,2010,https://boxd.it/SLa,2.5
2025-01-02,Happy People: A Year in the Taiga,2010,https://boxd.it/3adu,4
2025-01-12,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/z14C,4
2025-02-05,Challengers,2024,https://boxd.it/zld0,5
2025-02-26,The Monkey,2025,https://boxd.it/Gwiu,3.5
2025-03-12,Mickey 17,2025,https://boxd.it/q1Dk,2.5
2025-03-12,Anora,2024,https://boxd.it/Egcw,4
2025-03-21,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,5
2025-03-21,Chronicle,2012,https://boxd.it/2Emk,5
2025-03-21,Wedding Crashers,2005,https://boxd.it/1Yte,3.5
2025-04-03,BlackBerry,2023,https://boxd.it/CoVK,4
2025-04-10,Hoop Dreams,1994,https://boxd.it/1Opc,5
2025-04-14,Another Round,2020,https://boxd.it/lkba,4.5
2025-04-16,Moonlight,2016,https://boxd.it/d6bE,5
2025-04-20,The Departed,2006,https://boxd.it/28MA,4
2025-04-20,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2025-04-22,Sinners,2025,https://boxd.it/KQMM,5
2025-05-02,Made in Hong Kong,1997,https://boxd.it/1uFk,5
2025-05-05,Heat,1995,https://boxd.it/2bg8,5
2025-05-07,The Prince of Egypt,1998,https://boxd.it/1XGQ,5
2025-05-11,Malcolm X,1992,https://boxd.it/27WE,5
2025-05-30,Friendship,2024,https://boxd.it/L6Dc,1
2025-06-06,City of God,2002,https://boxd.it/2a2a,5
2025-06-07,The Day He Arrives,2011,https://boxd.it/31L8,5
2025-06-08,On the Occasion of Remembering the Turning Gate,2002,https://boxd.it/wYm,4.5
2025-06-09,Tale of Cinema,2005,https://boxd.it/31H6,5
2025-06-19,Materialists,2025,https://boxd.it/GZlW,1
2025-06-21,After Hours,1985,https://boxd.it/1VfS,5
2025-06-23,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,5
2025-06-23,Mulan II,2004,https://boxd.it/1ScG,5
2025-06-26,The Social Network,2010,https://boxd.it/17ue,5
2025-06-28,Dog Day Afternoon,1975,https://boxd.it/29bg,5
2025-07-06,Ford v Ferrari,2019,https://boxd.it/ce74,4.5
2025-07-13,Superman,2025,https://boxd.it/E9IU,4.5
2025-07-14,Taste of Cherry,1997,https://boxd.it/1m8W,5
2025-07-14,The Place Which Isn’t Necessarily Wrong,1996,https://boxd.it/xrK6,5
2025-07-14,Babylon,2022,https://boxd.it/mM02,4.5
2025-07-19,Bleeder,1999,https://boxd.it/1HKs,3.5
2025-07-19,Hairspray,2007,https://boxd.it/261M,5
2025-07-20,Now You See Me,2013,https://boxd.it/2Bsu,3.5
2025-07-23,After the Wedding,2006,https://boxd.it/25eg,4.5
2025-07-25,All That Jazz,1979,https://boxd.it/1JB8,5
2025-07-25,Miles Davis: Birth of the Cool,2019,https://boxd.it/kLfm,5
2025-07-26,In the Heights,2021,https://boxd.it/gLhu,2
2025-07-30,The Notebook,2004,https://boxd.it/1UNE,5
2025-08-25,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,3
2025-09-13,Yi Yi,2000,https://boxd.it/1vCw,5
2025-09-20,Your Name.,2016,https://boxd.it/cUqs,5
2025-09-28,Mirch Masala,1987,https://boxd.it/6R0E,5
2025-09-29,Linda Linda Linda,2005,https://boxd.it/1s1C,5
2025-09-30,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG,5
2025-09-30,Woman Is the Future of Man,2004,https://boxd.it/1K4O,4
2025-09-30,All the President's Men,1976,https://boxd.it/29lU,5
2025-10-02,Love Exposure,2008,https://boxd.it/1pDe,5
2025-10-03,Phantom Thread,2017,https://boxd.it/e4uc,5
2025-10-10,Punch-Drunk Love,2002,https://boxd.it/20E4,5
2025-10-11,The Wedding Banquet,1993,https://boxd.it/1Z82,4.5
2025-10-11,Millennium Mambo,2001,https://boxd.it/1Tzw,5
2025-10-11,3-Iron,2004,https://boxd.it/28WK,5
2025-10-13,Elevator to the Gallows,1958,https://boxd.it/294u,5
2025-10-13,A Snake of June,2002,https://boxd.it/1fuQ,5
2025-10-13,Donkey Skin,1970,https://boxd.it/22V2,5
2025-10-14,Crash,1996,https://boxd.it/29n2,4.5
2025-10-14,Dead Ringers,1988,https://boxd.it/1Yqk,5
2025-10-15,Between Calmness and Passion,2001,https://boxd.it/1fGs,4
2025-10-17,Amadeus,1984,https://boxd.it/2aH8,5
2025-10-17,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,1
2025-10-17,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,0.5
2025-10-17,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,3.5
2025-10-20,Control,2007,https://boxd.it/22IC,4.5
2025-10-21,Picnic,1996,https://boxd.it/10HU,4.5
2025-10-31,Frankenstein,2025,https://boxd.it/Ecsg,3
2025-11-03,Bugonia,2025,https://boxd.it/qeWY,1
2025-11-03,Il Mare,2000,https://boxd.it/1RuO,5
2025-11-08,Autumn Sonata,1978,https://boxd.it/1Rio,5
2025-11-09,The Day of the Beast,1995,https://boxd.it/1Vyg,0.5
2025-11-13,Fallen Angels,1995,https://boxd.it/1UkW,5
2025-11-22,Rental Family,2025,https://boxd.it/JQOw,4.5
2025-12-01,Secret Sunshine,2007,https://boxd.it/27CY,5
2025-12-06,Sentimental Value,2025,https://boxd.it/GwcG,5
2025-12-09,No Other Choice,2025,https://boxd.it/nKiA,5
2025-12-13,Resurrection,2025,https://boxd.it/x9DG,5
2025-12-16,A Bittersweet Life,2005,https://boxd.it/1U4Y,5
2025-12-19,Long Day's Journey Into Night,2018,https://boxd.it/hw1I,4
2025-12-26,Kaili Blues,2015,https://boxd.it/cksW,4.5
